log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d5f4,32,-478,386,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e6e5,33,-478,386,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e8f8,34,-479,387,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,a8a2,35,-480,388,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d5e3,36,-490,398,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e8d7,37,-513,421,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,h8g8,38,-535,443,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e7g5,39,-550,458,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,h8f8,40,-551,459,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e7a3,41,-569,477,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,a8a3,42,-573,481,d5b4,d8c7,4,42
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7c6,1,-101,0,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,g7g6,2,-101,0,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,g7g5,3,-128,27,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,h7h6,4,-132,31,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,g8h8,5,-135,34,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7h4,6,-136,35,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7d8,7,-141,40,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,h7h5,8,-145,44,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,a8a6,9,-150,49,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,a8a5,10,-150,49,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7c5,11,-152,51,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,f8d8,12,-154,53,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7f6,13,-164,63,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7b4,14,-176,75,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7c8,15,-188,87,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b8c6,16,-195,94,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,f8c8,17,-227,126,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,f7f5,18,-232,131,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e6e5,19,-328,227,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7a6,20,-351,250,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,f7f6,21,-354,253,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,f8e8,22,-359,258,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b8a6,23,-428,327,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7e4,24,-498,397,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7h1,25,-515,414,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7a3,26,-517,416,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7g2,27,-528,427,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,a8a3,28,-543,442,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7g5,29,-545,444,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,a8a2,30,-556,455,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,e7d6,31,-559,458,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7d5,32,-562,461,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,a8a7,33,-568,467,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b7f3,34,-572,471,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,a8a4,35,-585,484,b8c6,g7g6,4,36
sprt_game_1,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b8d7,36,-635,534,b8c6,g7g6,4,36
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,g7g6,1,-98,0,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,g7g5,2,-105,7,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,h7h6,3,-119,21,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f8d8,4,-129,31,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f8c8,5,-131,33,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,a8a6,6,-136,38,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6e7,7,-137,39,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6h4,8,-140,42,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6d7,9,-140,42,g7g5,f8c8,4,32
