log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,g2g3,26,-708,581,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e2g4,27,-714,587,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,c2c4,28,-720,593,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3h6,29,-724,597,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,f2f3,30,-724,597,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e1f1,31,-731,604,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e1d1,32,-738,611,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e2h5,33,-753,626,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e2f1,34,-757,630,e3f3,e3h3,3,34
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,g2g3,1,-102,0,e2d1,g2g3,3,29
sprt_game_1,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,e2d1,2,-126,24,e2d1,g2g3,3,29
