log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2a3,2,-87,158,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,a4a3,3,-285,356,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8b8,4,-304,375,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b5,5,-308,379,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b8,6,-321,392,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b1,7,-321,392,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6h2,8,-362,433,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b3,9,-366,437,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6a3,10,-383,454,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b7,11,-425,496,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
