log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7b7,1,-77,0,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,b6d7,2,-95,18,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,b6a4,3,-171,94,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7e7,4,-181,104,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,g5e4,5,-188,111,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c5c4,6,-216,139,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,a8c8,7,-269,192,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7a7,8,-288,211,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,d8e8,9,-292,215,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,a8b8,10,-337,260,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7b8,11,-340,263,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,g5f3,12,-349,272,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,d8e7,13,-377,300,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,g5e6,14,-399,322,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,a8a7,15,-410,333,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,b6d5,16,-442,365,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,b6c8,17,-452,375,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,g5h3,18,-457,380,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,a8a6,19,-485,408,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,b6c4,20,-499,422,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,g5f7,21,-499,422,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7d7,22,-513,436,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7c8,23,-586,509,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7f7,24,-728,651,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,c7c6,25,-754,677,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x_vs_EnyoBot_0waEuGxc.log,49,97,Black,r2k4/2q3p1/1n1p1pPp/pPpPpBnP/P3P3/1N2P3/2R5/2QK4 b - - 19 49,g5h7,26,-777,700,c7b7;c7b7;c7b7,c7b7;c7b7;c7b7,c7a7;b6a4;c7a7,-209,3
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,d1e3,1,-416,0,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g5e4,2,-475,59,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8f8,3,-483,67,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g8h8,4,-484,68,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a6,5,-484,68,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g8f8,6,-509,93,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8b8,7,-577,161,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8e8,8,-580,164,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8d8,9,-589,173,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,d1f2,10,-613,197,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g5f7,11,-636,220,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g5h3,12,-637,221,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,d1b2,13,-642,226,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8b7,14,-653,237,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,d1c3,15,-767,351,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g5f3,16,-773,357,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g5h7,17,-780,364,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,g5e6,18,-31993,31577,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8c6,19,-31996,31580,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a3,20,-31997,31581,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8d5,21,-31998,31582,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a5,22,-31998,31582,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a4,23,-31998,31582,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8c8,24,-31999,31583,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a7,25,-31999,31583,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a2,26,-31999,31583,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x vs EnyoBot - 0waEuGxc.log,67,133,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4P1K1/8/2Qn4 b - - 20 67,a8a1,27,-31999,31583,a8d8;a8d8,d1e3;d1e3,g8h8;g8f8,-202,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,d8e8,1,-89,0,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,b6d7,2,-130,41,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7c7,3,-157,68,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,d8e7,4,-161,72,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,c5c4,5,-221,132,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,b6c8,6,-232,143,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,g5e4,7,-258,169,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,g5f3,8,-272,183,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a8c8,9,-370,281,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7b8,10,-370,281,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,d8c7,11,-387,298,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,g5e6,12,-387,298,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7e7,13,-393,304,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,g5h3,14,-396,307,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7b7,15,-414,325,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,b6d5,16,-436,347,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a8b8,17,-437,348,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,g5f7,18,-448,359,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,b6c4,19,-503,414,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,b6a4,20,-504,415,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7d7,21,-569,480,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,g5h7,22,-636,547,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7a6,23,-788,699,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
caissa-x_vs_EnyoBot_0waEuGxc.log,46,91,Black,r2k4/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/8/R2K4 b - - 13 46,a7f7,24,-830,741,d8e8;d8e8,d8e7;d8e7,g5f3;g5f3,-170,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,d7c8,1,-145,0,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,d7c7,2,-166,21,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1a5,3,-220,75,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1c3,4,-229,84,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1a6,5,-279,134,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,d7e8,6,-314,169,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,d7c6,7,-316,171,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,d7e7,8,-339,194,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1g1,9,-355,210,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,d7d8,10,-382,237,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g1,11,-385,240,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g7,12,-424,279,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3c3,13,-439,294,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1a3,14,-456,311,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1a4,15,-491,346,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g8,16,-516,371,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g5,17,-537,392,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3e3,18,-549,404,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1a7,19,-581,436,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g2,20,-610,465,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3f3,21,-621,476,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g6,22,-632,487,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3h3,23,-638,493,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,a1a8,24,-640,495,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3d3,25,-666,521,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
Hypersion_vs_EnyoBot_npmgxvIO.log,49,97,Black,8/1p1k4/4p3/3pP3/4B3/2P3r1/3QK2R/q7 b - - 8 49,g3g4,26,-721,576,d7c7;d7c7,a1c3;a1c3,a1g1;g3g1,-168,2
