log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8b7,12,-730,358,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8a2,13,-732,360,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g5f7,14,-788,416,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g5f3,15,-849,477,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g5h3,16,-942,570,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g5h7,17,-31984,31612,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g5e6,18,-31993,31621,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8c8,19,-31994,31622,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8c6,20,-31995,31623,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8d5,21,-31995,31623,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8a7,22,-31997,31625,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8a3,23,-31997,31625,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,g6h7,1,-669,0,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,g6f7,2,-722,53,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f6,3,-809,140,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5g5,4,-848,179,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f8,5,-852,183,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5h5,6,-31989,31320,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,g6h6,7,-31990,31321,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f7,8,-31990,31321,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,g6h5,9,-31991,31322,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5c5,10,-31992,31323,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f2,11,-31992,31323,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,g6g5,12,-31993,31324,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5b5,13,-31993,31324,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5a5,14,-31993,31324,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f3,15,-31993,31324,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5e5,16,-31994,31325,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5d5,17,-31994,31325,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f4,18,-31994,31325,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,51,101,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,f5f1,19,-31995,31326,g6h7;g6h7,g6f7;g6f7,f5g5;f5g5,-294,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4b4,1,-118,0,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4d4,2,-127,9,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,f7e8,3,-137,19,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4d4,4,-204,86,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g6e7,5,-250,132,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4a3,6,-339,221,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g6f8,7,-393,275,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g6h4,8,-409,291,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g6h8,9,-416,298,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4h4,10,-419,301,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e5,11,-420,302,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,b6b5,12,-429,311,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,f7e6,13,-458,340,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e8,14,-458,340,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g8f8,15,-460,342,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,g6f4,16,-462,344,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4a1,17,-468,350,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,e4e6,18,-498,380,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
ArasanX_vs_EnyoBot_Q0a5I19l.log,40,79,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4c6,19,-505,387,a4b4;a4b4;a4b4;a4b4,a4b4;a4b4;a4b4;a4b4,e4h4;e4h4;g6e7;e4h4,-287,4
